  N ,   Z ,  El , Mass_Excess  ,     Atomic Mass
107 ,  77 ,  Ir ,  -39611      , 183.957480
106 ,  78 ,  Pt ,  -37332      , 183.959922
105 ,  79 ,  Au ,  -30319      , 183.967452
104 ,  80 ,  Hg ,  -26345      , 183.971718
103 ,  81 ,  Tl ,  -16883      , 183.981875
102 ,  82 ,  Pb ,  -11052      , 183.988136
113 ,  72 ,  Hf ,  -38320      , 184.958860
112 ,  73 ,  Ta ,  -41394      , 184.955561
111 ,  74 ,  W  ,  -43387.9    , 184.9534218
110 ,  75 ,  Re ,  -43819.0    , 184.9529589
109 ,  76 ,  Os ,  -42805.9    , 184.9540469
108 ,  77 ,  Ir ,  -40336      , 184.956700
107 ,  78 ,  Pt ,  -36688      , 184.960614
106 ,  79 ,  Au ,  -31858.1    , 184.9657988
105 ,  80 ,  Hg ,  -26184      , 184.971891
104 ,  81 ,  Tl ,  -19758      , 184.978789
103 ,  82 ,  Pb ,  -11541      , 184.987610
114 ,  72 ,  Hf ,  -36420      , 185.960900
113 ,  73 ,  Ta ,  -38610      , 185.958550
112 ,  74 ,  W  ,  -42508.6    , 185.9543653
111 ,  75 ,  Re ,  -41927.3    , 185.9549899
110 ,  76 ,  Os ,  -43000.0    , 185.9538378
109 ,  77 ,  Ir ,  -39172      , 185.957947
108 ,  78 ,  Pt ,  -37864      , 185.959351
107 ,  79 ,  Au ,  -31715      , 185.965953
106 ,  80 ,  Hg ,  -28539      , 185.969362
105 ,  81 ,  Tl ,  -19883      , 185.978655
104 ,  82 ,  Pb ,  -14681      , 185.984239
103 ,  83 ,  Bi ,   -3145      , 185.996623
102 ,  84 ,  Po ,    4102      , 186.004403
114 ,  73 ,  Ta ,  -36900      , 186.960390
113 ,  74 ,  W  ,  -39904.0    , 186.9571613
112 ,  75 ,  Re ,  -41216.5    , 186.9557528
111 ,  76 ,  Os ,  -41219.0    , 186.9557498
110 ,  77 ,  Ir ,  -39549      , 186.957540
109 ,  78 ,  Pt ,  -36685      , 186.960617
108 ,  79 ,  Au ,  -33029      , 186.964542
107 ,  80 ,  Hg ,  -28119      , 186.969814
106 ,  81 ,  Tl ,  -22445      , 186.975905
105 ,  82 ,  Pb ,  -14987      , 186.983911
104 ,  83 ,  Bi ,   -6383      , 186.993147
103 ,  84 ,  Po ,    2820      , 187.003030
114 ,  74 ,  W  ,  -38668      , 187.958488
113 ,  75 ,  Re ,  -39016.9    , 187.9581138
112 ,  76 ,  Os ,  -41137.3    , 187.9558378
111 ,  77 ,  Ir ,  -38345      , 187.958835
110 ,  78 ,  Pt ,  -37821      , 187.959398
109 ,  79 ,  Au ,  -32371.3    , 187.9652489
108 ,  80 ,  Hg ,  -30198      , 187.967581
107 ,  81 ,  Tl ,  -22336      , 187.976020
106 ,  82 ,  Pb ,  -17811      , 187.980879
105 ,  83 ,  Bi ,   -7195      , 187.992276
104 ,  84 ,  Po ,    -544      , 187.999416
114 ,  75 ,  Re ,  -37979      , 188.959228
113 ,  76 ,  Os ,  -38986.8    , 188.9581457
112 ,  77 ,  Ir ,  -38450      , 188.958723
111 ,  78 ,  Pt ,  -36469      , 188.960848
110 ,  79 ,  Au ,  -33582      , 188.963948
109 ,  80 ,  Hg ,  -29630      , 188.968190
108 ,  81 ,  Tl ,  -24616      , 188.973574
107 ,  82 ,  Pb ,  -17844      , 188.980844
106 ,  83 ,  Bi ,  -10065      , 188.989195
105 ,  84 ,  Po ,   -1422      , 188.998473
116 ,  74 ,  W  ,  -34370      , 189.963100
115 ,  75 ,  Re ,  -35583      , 189.961800
114 ,  76 ,  Os ,  -38707.8    , 189.9584457
113 ,  77 ,  Ir ,  -36753.6    , 189.9605435
112 ,  78 ,  Pt ,  -37306.5    , 189.9599497
111 ,  79 ,  Au ,  -32834      , 189.964752
110 ,  80 ,  Hg ,  -31371      , 189.966322
109 ,  81 ,  Tl ,  -24366      , 189.973842
108 ,  82 ,  Pb ,  -20417      , 189.978082
107 ,  83 ,  Bi ,  -10596      , 189.988625
106 ,  84 ,  Po ,   -4563      , 189.995102
117 ,  74 ,  W  ,  -31180      , 190.966530
116 ,  75 ,  Re ,  -34350      , 190.963123
115 ,  76 ,  Os ,  -36395.2    , 190.9609287
114 ,  77 ,  Ir ,  -36708.8    , 190.9605914
113 ,  78 ,  Pt ,  -35698      , 190.961676
112 ,  79 ,  Au ,  -33798      , 190.963716
111 ,  80 ,  Hg ,  -30592      , 190.967158
110 ,  81 ,  Tl ,  -26283      , 190.971784
109 ,  82 ,  Pb ,  -20291      , 190.978216
108 ,  83 ,  Bi ,  -13239      , 190.985787
107 ,  84 ,  Po ,   -5069      , 190.994558
106 ,  85 ,  At ,    3864      , 191.004148
117 ,  75 ,  Re ,  -31590      , 191.966090
116 ,  76 ,  Os ,  -35882.3    , 191.9614785
115 ,  77 ,  Ir ,  -34835.6    , 191.9626024
114 ,  78 ,  Pt ,  -36288.5    , 191.9610428
113 ,  79 ,  Au ,  -32772      , 191.964818
112 ,  80 ,  Hg ,  -32011      , 191.965634
111 ,  81 ,  Tl ,  -25870      , 191.972230
110 ,  82 ,  Pb ,  -22552      , 191.975790
109 ,  83 ,  Bi ,  -13530      , 191.985470
108 ,  84 ,  Po ,   -8066      , 191.991340
107 ,  85 ,  At ,    2926      , 192.003141
118 ,  75 ,  Re ,  -30230      , 192.967550
117 ,  76 ,  Os ,  -33394.4    , 192.9641495
116 ,  77 ,  Ir ,  -34536.3    , 192.9629234
115 ,  78 ,  Pt ,  -34479.7    , 192.9629845
114 ,  79 ,  Au ,  -33405      , 192.964138
113 ,  80 ,  Hg ,  -31062      , 192.966653
112 ,  81 ,  Tl ,  -27477      , 192.970502
111 ,  82 ,  Pb ,  -22229      , 192.976136
110 ,  83 ,  Bi ,  -15885      , 192.982947
109 ,  84 ,  Po ,   -8325      , 192.991062
108 ,  85 ,  At ,     -67      , 192.999928
107 ,  86 ,  Rn ,    9043      , 193.009708
118 ,  76 ,  Os ,  -32435.2    , 193.9651796
117 ,  77 ,  Ir ,  -32531.8    , 193.9650754
116 ,  78 ,  Pt ,  -34760.1    , 193.9626835
115 ,  79 ,  Au ,  -32211.9    , 193.9654193
114 ,  80 ,  Hg ,  -32184.0    , 193.965449
113 ,  81 ,  Tl ,  -26937      , 193.971081
112 ,  82 ,  Pb ,  -24208      , 193.974012
111 ,  83 ,  Bi ,  -16023      , 193.982799
110 ,  84 ,  Po ,  -11005      , 193.988186
109 ,  85 ,  At ,    -716      , 193.999231
108 ,  86 ,  Rn ,    5725      , 194.006146
119 ,  76 ,  Os ,  -29510      , 194.968320
118 ,  77 ,  Ir ,  -31692.3    , 194.9659764
117 ,  78 ,  Pt ,  -32793.9    , 194.9647945
116 ,  79 ,  Au ,  -32567.1    , 194.9650372
115 ,  80 ,  Hg ,  -31013      , 194.966706
114 ,  81 ,  Tl ,  -28155      , 194.969774
113 ,  82 ,  Pb ,  -23738      , 194.974516
112 ,  83 ,  Bi ,  -18026      , 194.980649
111 ,  84 ,  Po ,  -11117      , 194.988066
110 ,  85 ,  At ,   -3470      , 194.996274
109 ,  86 ,  Rn ,    5050      , 195.005420
120 ,  76 ,  Os ,  -28280      , 195.969640
119 ,  77 ,  Ir ,  -29440      , 195.968400
118 ,  78 ,  Pt ,  -32644.5    , 195.9649545
117 ,  79 ,  Au ,  -31138.7    , 195.966571
116 ,  80 ,  Hg ,  -31825.9    , 195.965833
115 ,  81 ,  Tl ,  -27497      , 195.970481
114 ,  82 ,  Pb ,  -25348      , 195.972788
113 ,  83 ,  Bi ,  -18009      , 195.980667
112 ,  84 ,  Po ,  -13469      , 195.985541
111 ,  85 ,  At ,   -3910      , 195.995800
110 ,  86 ,  Rn ,    1975      , 196.002120
120 ,  77 ,  Ir ,  -28264      , 196.969657
119 ,  78 ,  Pt ,  -30419.8    , 196.9673436
118 ,  79 ,  Au ,  -31139.8    , 196.9665706
117 ,  80 ,  Hg ,  -30540      , 196.967214
116 ,  81 ,  Tl ,  -28354      , 196.969560
115 ,  82 ,  Pb ,  -24745      , 196.973435
114 ,  83 ,  Bi ,  -19687      , 196.978865
113 ,  84 ,  Po ,  -13393      , 196.985622
112 ,  85 ,  At ,   -6355      , 196.993177
111 ,  86 ,  Rn ,    1510      , 197.001621
110 ,  87 ,  Fr ,   10250      , 197.011010
120 ,  78 ,  Pt ,  -29904.0    , 197.9678963
119 ,  79 ,  Au ,  -29580.8    , 197.9682436
118 ,  80 ,  Hg ,  -30954.3    , 197.9667695
117 ,  81 ,  Tl ,  -27529      , 197.970447
116 ,  82 ,  Pb ,  -26067      , 197.972015
115 ,  83 ,  Bi ,  -19374      , 197.979201
114 ,  84 ,  Po ,  -15473      , 197.983389
113 ,  85 ,  At ,   -6709      , 197.992798
112 ,  86 ,  Rn ,   -1230      , 197.998679
111 ,  87 ,  Fr ,    9580      , 198.010280
122 ,  77 ,  Ir ,  -24400      , 198.973810
121 ,  78 ,  Pt ,  -27388.7    , 198.9705973
120 ,  79 ,  Au ,  -29093.8    , 198.9687666
119 ,  80 ,  Hg ,  -29546.1    , 198.9682816
118 ,  81 ,  Tl ,  -28059      , 198.969880
117 ,  82 ,  Pb ,  -25232      , 198.972913
116 ,  83 ,  Bi ,  -20798      , 198.977673
115 ,  84 ,  Po ,  -15239      , 198.983640
114 ,  85 ,  At ,   -8823      , 198.990528
113 ,  86 ,  Rn ,   -1560      , 198.998325
112 ,  87 ,  Fr ,    6771      , 199.007269
122 ,  78 ,  Pt ,  -26599      , 199.971445
121 ,  79 ,  Au ,  -27240      , 199.970757
120 ,  80 ,  Hg ,  -29503.3    , 199.9683266
119 ,  81 ,  Tl ,  -27047      , 199.970964
118 ,  82 ,  Pb ,  -26251      , 199.971819
117 ,  83 ,  Bi ,  -20371      , 199.978131
116 ,  84 ,  Po ,  -16942      , 199.981812
115 ,  85 ,  At ,   -8988      , 199.990351
114 ,  86 ,  Rn ,   -4000      , 199.995705
113 ,  87 ,  Fr ,    6130      , 200.006580
123 ,  78 ,  Pt ,  -23740      , 200.974510
122 ,  79 ,  Au ,  -26401      , 200.971658
121 ,  80 ,  Hg ,  -27662.5    , 200.9703038
120 ,  81 ,  Tl ,  -27181      , 200.970820
119 ,  82 ,  Pb ,  -25271      , 200.972870
118 ,  83 ,  Bi ,  -21429      , 200.976995
117 ,  84 ,  Po ,  -16521      , 200.982264
116 ,  85 ,  At ,  -10789      , 200.988417
115 ,  86 ,  Rn ,   -4107      , 200.995591
114 ,  87 ,  Fr ,    3589      , 201.003852
113 ,  88 ,  Ra ,   11937      , 201.012815
124 ,  78 ,  Pt ,  -22692      , 201.975639
123 ,  79 ,  Au ,  -24353      , 201.973856
122 ,  80 ,  Hg ,  -27345.3    , 201.9706438
121 ,  81 ,  Tl ,  -25980.4    , 201.9721080
120 ,  82 ,  Pb ,  -25941      , 201.972152
119 ,  83 ,  Bi ,  -20751      , 201.977723
118 ,  84 ,  Po ,  -17942      , 201.980739
117 ,  85 ,  At ,  -10595      , 201.988626
116 ,  86 ,  Rn ,   -6275      , 201.993264
115 ,  87 ,  Fr ,    3102      , 202.003330
114 ,  88 ,  Ra ,    9075      , 202.009742
124 ,  79 ,  Au ,  -23143      , 202.975154
123 ,  80 ,  Hg ,  -25269.2    , 202.9728728
122 ,  81 ,  Tl ,  -25761.3    , 202.9723443
121 ,  82 ,  Pb ,  -24786      , 202.973391
120 ,  83 ,  Bi ,  -21525      , 202.976892
119 ,  84 ,  Po ,  -17311      , 202.981416
118 ,  85 ,  At ,  -12163      , 202.986943
117 ,  86 ,  Rn ,   -6184      , 202.993361
116 ,  87 ,  Fr ,     876      , 203.000941
115 ,  88 ,  Ra ,    8601      , 203.009234
124 ,  80 ,  Hg ,  -24690.1    , 203.9734945
123 ,  81 ,  Tl ,  -24346.1    , 203.9738632
122 ,  82 ,  Pb ,  -25109.8    , 203.9730432
121 ,  83 ,  Bi ,  -20646      , 203.977836
120 ,  84 ,  Po ,  -18341      , 203.980310
119 ,  85 ,  At ,  -11875      , 203.987251
118 ,  86 ,  Rn ,   -7970      , 203.991444
117 ,  87 ,  Fr ,     607      , 204.000652
116 ,  88 ,  Ra ,    6061      , 204.006507
125 ,  80 ,  Hg ,  -22288      , 204.976073
124 ,  81 ,  Tl ,  -23820.8    , 204.9744273
123 ,  82 ,  Pb ,  -23770.2    , 204.9744812
122 ,  83 ,  Bi ,  -21066      , 204.977385
121 ,  84 ,  Po ,  -17521      , 204.981190
120 ,  85 ,  At ,  -12985      , 204.986061
119 ,  86 ,  Rn ,   -7710      , 204.991723
118 ,  87 ,  Fr ,   -1310      , 204.998594
117 ,  88 ,  Ra ,    5804      , 205.006231
116 ,  89 ,  Ac ,   14110      , 205.015140
126 ,  80 ,  Hg ,  -20946      , 205.977514
125 ,  81 ,  Tl ,  -22253.3    , 205.9761104
124 ,  82 ,  Pb ,  -23785.5    , 205.9744652
123 ,  83 ,  Bi ,  -20028      , 205.978499
122 ,  84 ,  Po ,  -18189      , 205.980474
121 ,  85 ,  At ,  -12439      , 205.986646
120 ,  86 ,  Rn ,   -9133      , 205.990195
119 ,  87 ,  Fr ,   -1247      , 205.998661
118 ,  88 ,  Ra ,    3566      , 206.003828
117 ,  89 ,  Ac ,   13480      , 206.014480
127 ,  80 ,  Hg ,  -16487      , 206.982300
126 ,  81 ,  Tl ,  -21034      , 206.977419
125 ,  82 ,  Pb ,  -22452.0    , 206.9758962
124 ,  83 ,  Bi ,  -20054.6    , 206.9784706
123 ,  84 ,  Po ,  -17146      , 206.981593
122 ,  85 ,  At ,  -13227      , 206.985800
121 ,  86 ,  Rn ,   -8635      , 206.990730
120 ,  87 ,  Fr ,   -2849      , 206.996941
119 ,  88 ,  Ra ,    3510      , 207.003770
118 ,  89 ,  Ac ,   11150      , 207.011970
128 ,  80 ,  Hg ,  -13270      , 207.985760
127 ,  81 ,  Tl ,  -16750.1    , 207.9820180
126 ,  82 ,  Pb ,  -21748.5    , 207.9766522
125 ,  83 ,  Bi ,  -18870.2    , 207.9797425
124 ,  84 ,  Po ,  -17469.2    , 207.9812468
123 ,  85 ,  At ,  -12470      , 207.986613
122 ,  86 ,  Rn ,   -9655      , 207.989635
121 ,  87 ,  Fr ,   -2665      , 207.997139
120 ,  88 ,  Ra ,    1728      , 208.001855
119 ,  89 ,  Ac ,   10760      , 208.011550
118 ,  90 ,  Th ,   16690      , 208.017920
128 ,  81 ,  Tl ,  -13645      , 208.985352
127 ,  82 ,  Pb ,  -17614.6    , 208.9810909
126 ,  83 ,  Bi ,  -18258.6    , 208.9803985
125 ,  84 ,  Po ,  -16366.0    , 208.9824309
124 ,  85 ,  At ,  -12884      , 208.986169
123 ,  86 ,  Rn ,   -8941      , 208.990401
122 ,  87 ,  Fr ,   -3782      , 208.995940
121 ,  88 ,  Ra ,    1858      , 209.001995
120 ,  89 ,  Ac ,    8840      , 209.009500
129 ,  81 ,  Tl ,   -9247      , 209.990073
128 ,  82 ,  Pb ,  -14728.4    , 209.9841886
127 ,  83 ,  Bi ,  -14791.9    , 209.9841205
126 ,  84 ,  Po ,  -15953.1    , 209.9828732
125 ,  85 ,  At ,  -11972      , 209.987147
124 ,  86 ,  Rn ,   -9605      , 209.989689
123 ,  87 ,  Fr ,   -3344      , 209.996411
122 ,  88 ,  Ra ,     443      , 210.000475
121 ,  89 ,  Ac ,    8760      , 210.009410
120 ,  90 ,  Th ,   14060      , 210.015094
130 ,  81 ,  Tl ,   -6080      , 210.993480
129 ,  82 ,  Pb ,  -10493.0    , 210.9887354
128 ,  83 ,  Bi ,  -11859      , 210.987269
127 ,  84 ,  Po ,  -12432.5    , 210.9866533
126 ,  85 ,  At ,  -11647.2    , 210.9874969
125 ,  86 ,  Rn ,   -8755      , 210.990601
124 ,  87 ,  Fr ,   -4140      , 210.995555
123 ,  88 ,  Ra ,     832      , 211.000893
122 ,  89 ,  Ac ,    7140      , 211.007670
121 ,  90 ,  Th ,   13880      , 211.014900
120 ,  91 ,  Pa ,   22050      , 211.023670
130 ,  82 ,  Pb ,   -7548.9    , 211.9918950
129 ,  83 ,  Bi ,   -8117.9    , 211.9912850
128 ,  84 ,  Po ,  -10369.4    , 211.9888682
127 ,  85 ,  At ,   -8628.1    , 211.9907376
126 ,  86 ,  Rn ,   -8659      , 211.990704
125 ,  87 ,  Fr ,   -3516      , 211.996225
124 ,  88 ,  Ra ,    -199      , 211.999787
123 ,  89 ,  Ac ,    7300      , 212.007836
122 ,  90 ,  Th ,   12111      , 212.013002
121 ,  91 ,  Pa ,   21600      , 212.023180
132 ,  81 ,  Tl ,    1784      , 213.001915
131 ,  82 ,  Pb ,   -3204      , 212.996561
130 ,  83 ,  Bi ,   -5232      , 212.994384
129 ,  84 ,  Po ,   -6654      , 212.992857
128 ,  85 ,  At ,   -6580      , 212.992937
127 ,  86 ,  Rn ,   -5696      , 212.993885
126 ,  87 ,  Fr ,   -3554      , 212.996184
125 ,  88 ,  Ra ,     346      , 213.000371
124 ,  89 ,  Ac ,    6141      , 213.006593
123 ,  90 ,  Th ,   12120      , 213.013011
122 ,  91 ,  Pa ,   19650      , 213.021100
132 ,  82 ,  Pb ,    -183.0    , 213.9998031
131 ,  83 ,  Bi ,   -1201      , 213.998711
130 ,  84 ,  Po ,   -4470.0    , 213.9952016
129 ,  85 ,  At ,   -3379      , 213.996372
128 ,  86 ,  Rn ,   -4320      , 213.995363
127 ,  87 ,  Fr ,    -958      , 213.998971
126 ,  88 ,  Ra ,      93      , 214.000100
125 ,  89 ,  Ac ,    6433      , 214.006906
124 ,  90 ,  Th ,   10695      , 214.011481
123 ,  91 ,  Pa ,   19460      , 214.020890
133 ,  82 ,  Pb ,    4340      , 215.004660
132 ,  83 ,  Bi ,    1629      , 215.001749
131 ,  84 ,  Po ,    -541.8    , 214.9994183
130 ,  85 ,  At ,   -1257      , 214.998651
129 ,  86 ,  Rn ,   -1169      , 214.998745
128 ,  87 ,  Fr ,     318      , 215.000342
127 ,  88 ,  Ra ,    2532      , 215.002718
126 ,  89 ,  Ac ,    6031      , 215.006474
125 ,  90 ,  Th ,   10921      , 215.011725
124 ,  91 ,  Pa ,   17800      , 215.019110
123 ,  92 ,  U  ,   24890      , 215.026720
133 ,  83 ,  Bi ,    5874      , 216.006306
132 ,  84 ,  Po ,    1782.3    , 216.0019139
131 ,  85 ,  At ,    2257      , 216.002423
130 ,  86 ,  Rn ,     253      , 216.000272
129 ,  87 ,  Fr ,    2971      , 216.003190
128 ,  88 ,  Ra ,    3291      , 216.003534
127 ,  89 ,  Ac ,    8150      , 216.008749
126 ,  90 ,  Th ,   10299      , 216.011056
125 ,  91 ,  Pa ,   17824      , 216.019135
124 ,  92 ,  U  ,   23066      , 216.024760
134 ,  83 ,  Bi ,    8730      , 217.009372
133 ,  84 ,  Po ,    5883      , 217.006316
132 ,  85 ,  At ,    4395      , 217.004718
131 ,  86 ,  Rn ,    3659      , 217.003928
130 ,  87 ,  Fr ,    4315      , 217.004632
129 ,  88 ,  Ra ,    5890      , 217.006323
128 ,  89 ,  Ac ,    8702      , 217.009342
127 ,  90 ,  Th ,   12206      , 217.013103
126 ,  91 ,  Pa ,   17055      , 217.018309
135 ,  83 ,  Bi ,   13216      , 218.014188
134 ,  84 ,  Po ,    8356.7    , 218.0089711
133 ,  85 ,  At ,    8100      , 218.008696
132 ,  86 ,  Rn ,    5217.4    , 218.0056015
131 ,  87 ,  Fr ,    7059      , 218.007579
130 ,  88 ,  Ra ,    6646      , 218.007134
129 ,  89 ,  Ac ,   10850      , 218.011650
128 ,  90 ,  Th ,   12367      , 218.013276
127 ,  91 ,  Pa ,   18650      , 218.020021
126 ,  92 ,  U  ,   21895      , 218.023505
135 ,  84 ,  Po ,   12681      , 219.013614
134 ,  85 ,  At ,   10396      , 219.011161
133 ,  86 ,  Rn ,    8829.3    , 219.0094783
132 ,  87 ,  Fr ,    8617      , 219.009251
131 ,  88 ,  Ra ,    9394      , 219.010085
130 ,  89 ,  Ac ,   11570      , 219.012420
129 ,  90 ,  Th ,   14460      , 219.015530
128 ,  91 ,  Pa ,   18580      , 219.019950
127 ,  92 ,  U  ,   23296      , 219.025009
126 ,  93 ,  Np ,   29440      , 219.031600
136 ,  84 ,  Po ,   15263      , 220.016386
135 ,  85 ,  At ,   14376      , 220.015433
134 ,  86 ,  Rn ,   10612.0    , 220.0113929
133 ,  87 ,  Fr ,   11482      , 220.012327
132 ,  88 ,  Ra ,   10272      , 220.011028
131 ,  89 ,  Ac ,   13744      , 220.014755
130 ,  90 ,  Th ,   14690      , 220.015770
129 ,  91 ,  Pa ,   20278      , 220.021770
127 ,  93 ,  Np ,   30480      , 220.032720
137 ,  84 ,  Po ,   19774      , 221.021228
136 ,  85 ,  At ,   16783      , 221.018017
135 ,  86 ,  Rn ,   14471      , 221.015536
134 ,  87 ,  Fr ,   13277      , 221.014254
133 ,  88 ,  Ra ,   12964      , 221.013917
132 ,  89 ,  Ac ,   14530      , 221.015600
131 ,  90 ,  Th ,   16940      , 221.018186
130 ,  91 ,  Pa ,   20370      , 221.021870
129 ,  92 ,  U  ,   24520      , 221.026320
138 ,  84 ,  Po ,   22490      , 222.024140
137 ,  85 ,  At ,   20953      , 222.022494
136 ,  86 ,  Rn ,   16372.0    , 222.0175761
135 ,  87 ,  Fr ,   16378      , 222.017583
134 ,  88 ,  Ra ,   14320      , 222.015373
133 ,  89 ,  Ac ,   16622      , 222.017844
132 ,  90 ,  Th ,   17203      , 222.018468
131 ,  91 ,  Pa ,   22060      , 222.023690
130 ,  92 ,  U  ,   24270      , 222.026060
129 ,  93 ,  Np ,   31270      , 222.033570
138 ,  85 ,  At ,   23428      , 223.025151
137 ,  86 ,  Rn ,   20390      , 223.021889
136 ,  87 ,  Fr ,   18382.3    , 223.0197341
135 ,  88 ,  Ra ,   17233.2    , 223.0185002
134 ,  89 ,  Ac ,   17825      , 223.019136
133 ,  90 ,  Th ,   19385      , 223.020811
132 ,  91 ,  Pa ,   22340      , 223.023980
131 ,  92 ,  U  ,   26050      , 223.027960
130 ,  93 ,  Np ,   30660      , 223.032910
139 ,  85 ,  At ,   27711      , 224.029749
138 ,  86 ,  Rn ,   22445      , 224.024096
137 ,  87 ,  Fr ,   21749      , 224.023348
136 ,  88 ,  Ra ,   18825.8    , 224.0202109
135 ,  89 ,  Ac ,   20234      , 224.021722
134 ,  90 ,  Th ,   19996      , 224.021466
133 ,  91 ,  Pa ,   23862      , 224.025617
132 ,  92 ,  U  ,   25743      , 224.027636
131 ,  93 ,  Np ,   32032      , 224.034390
139 ,  86 ,  Rn ,   26534      , 225.028486
138 ,  87 ,  Fr ,   23821      , 225.025572
137 ,  88 ,  Ra ,   21993.0    , 225.0236108
136 ,  89 ,  Ac ,   21637      , 225.023229
135 ,  90 ,  Th ,   22310      , 225.023951
134 ,  91 ,  Pa ,   24360      , 225.026150
133 ,  92 ,  U  ,   27372      , 225.029385
132 ,  93 ,  Np ,   31620      , 225.033940
140 ,  86 ,  Rn ,   28747      , 226.030861
139 ,  87 ,  Fr ,   27521      , 226.029545
138 ,  88 ,  Ra ,   23667.6    , 226.0254081
137 ,  89 ,  Ac ,   24309      , 226.026097
136 ,  90 ,  Th ,   23198      , 226.024904
135 ,  91 ,  Pa ,   26034      , 226.027948
134 ,  92 ,  U  ,   27329      , 226.029339
133 ,  93 ,  Np ,   32820      , 226.035230
141 ,  86 ,  Rn ,   32886      , 227.035304
140 ,  87 ,  Fr ,   29682      , 227.031865
139 ,  88 ,  Ra ,   27177.5    , 227.0291761
138 ,  89 ,  Ac ,   25849.5    , 227.0277501
137 ,  90 ,  Th ,   25804.8    , 227.0277022
136 ,  91 ,  Pa ,   26830      , 227.028804
135 ,  92 ,  U  ,   29045      , 227.031181
134 ,  93 ,  Np ,   32580      , 227.034980
142 ,  86 ,  Rn ,   35243      , 228.037835
141 ,  87 ,  Fr ,   33384      , 228.035839
140 ,  88 ,  Ra ,   28940.2    , 228.0310681
139 ,  89 ,  Ac ,   28894.7    , 228.0310192
138 ,  90 ,  Th ,   26770.9    , 228.0287399
137 ,  91 ,  Pa ,   28924      , 228.031051
136 ,  92 ,  U  ,   29220      , 228.031369
134 ,  94 ,  Pu ,   36108      , 228.038763
143 ,  86 ,  Rn ,   39362      , 229.042257
142 ,  87 ,  Fr ,   35668      , 229.038291
141 ,  88 ,  Ra ,   32562      , 229.034957
140 ,  89 ,  Ac ,   30690      , 229.032947
139 ,  90 ,  Th ,   29585.5    , 229.0317616
138 ,  91 ,  Pa ,   29897      , 229.032096
137 ,  92 ,  U  ,   31211      , 229.033506
136 ,  93 ,  Np ,   33800      , 229.036290
135 ,  94 ,  Pu ,   37390      , 229.040150
134 ,  95 ,  Am ,   42180      , 229.045280
143 ,  87 ,  Fr ,   39487      , 230.042391
142 ,  88 ,  Ra ,   34516      , 230.037055
141 ,  89 ,  Ac ,   33838      , 230.036327
140 ,  90 ,  Th ,   30862.5    , 230.0331323
139 ,  91 ,  Pa ,   32174      , 230.034540
138 ,  92 ,  U  ,   31615      , 230.033940
137 ,  93 ,  Np ,   35240      , 230.037830
136 ,  94 ,  Pu ,   36932      , 230.039648
144 ,  87 ,  Fr ,   42081      , 231.045175
143 ,  88 ,  Ra ,   38216      , 231.041027
142 ,  89 ,  Ac ,   35763      , 231.038393
141 ,  90 ,  Th ,   33815.8    , 231.0363023
140 ,  91 ,  Pa ,   33424.3    , 231.0358829
139 ,  92 ,  U  ,   33806.0    , 231.0362929
138 ,  93 ,  Np ,   35620      , 231.038240
137 ,  94 ,  Pu ,   38309      , 231.041126
145 ,  87 ,  Fr ,   46073      , 232.049461
144 ,  88 ,  Ra ,   40497      , 232.043475
143 ,  89 ,  Ac ,   39154      , 232.042034
142 ,  90 ,  Th ,   35446.7    , 232.0380535
141 ,  91 ,  Pa ,   35947      , 232.038590
140 ,  92 ,  U  ,   34609.4    , 232.0371549
138 ,  94 ,  Pu ,   38361      , 232.041182
146 ,  87 ,  Fr ,   48920      , 233.052518
145 ,  88 ,  Ra ,   44334      , 233.047595
144 ,  89 ,  Ac ,   41308      , 233.044346
143 ,  90 ,  Th ,   38731.6    , 233.0415805
142 ,  91 ,  Pa ,   37489.4    , 233.0402464
141 ,  92 ,  U  ,   36919.1    , 233.0396344
140 ,  93 ,  Np ,   37950      , 233.040740
139 ,  94 ,  Pu ,   40050      , 233.043000
137 ,  96 ,  Cm ,   47290      , 233.050770
146 ,  88 ,  Ra ,   46931      , 234.050382
145 ,  89 ,  Ac ,   44841      , 234.048139
144 ,  90 ,  Th ,   40613.0    , 234.0435998
143 ,  91 ,  Pa ,   40339      , 234.043306
142 ,  92 ,  U  ,   38145.0    , 234.0409502
141 ,  93 ,  Np ,   39955      , 234.042893
140 ,  94 ,  Pu ,   40350      , 234.043317
138 ,  96 ,  Cm ,   46722      , 234.050159
146 ,  89 ,  Ac ,   47357      , 235.050840
145 ,  90 ,  Th ,   44018      , 235.047255
144 ,  91 ,  Pa ,   42289      , 235.045399
143 ,  92 ,  U  ,   40918.8    , 235.0439282
142 ,  93 ,  Np ,   41043.0    , 235.0440615
141 ,  94 ,  Pu ,   42182      , 235.045285
140 ,  95 ,  Am ,   44620      , 235.047910
147 ,  89 ,  Ac ,   51220      , 236.054990
146 ,  90 ,  Th ,   46255      , 236.049657
145 ,  91 ,  Pa ,   45334      , 236.048668
144 ,  92 ,  U  ,   42444.6    , 236.0455662
143 ,  93 ,  Np ,   43380      , 236.046570
142 ,  94 ,  Pu ,   42901.5    , 236.0460569
140 ,  96 ,  Cm ,   47853      , 236.051372
147 ,  90 ,  Th ,   49955      , 237.053629
146 ,  91 ,  Pa ,   47528      , 237.051023
145 ,  92 ,  U  ,   45390.1    , 237.0487283
